ages,list_price,num_reviews,piece_count,review_difficulty,star_rating,country
8+,159.4971,2.0,1122.0,Easy,5.0,PL
6-12,91.4878,5.0,701.0,Average,4.0,NL
6-12,12.987000000000002,3.0,91.0,Easy,4.3,NO
11-16,179.99,18.0,1977.0,Challenging,4.8,US
8-12,54.8878,2.0,451.0,Average,5.0,LU
10-16,146.3878,7.0,1151.0,Challenging,4.9,IE
7-12,29.99,5.0,275.0,Average,4.2,US
6-14,15.6,4.0,69.0,Easy,4.3,DN
5+,4.752,13.0,8.0,Very Easy,4.8,CZ
5-12,36.5878,14.0,294.0,Average,4.2,PT
4-7,45.37000000000001,1.0,151.0,Easy,5.0,NO
10+,12.0,1.0,149.0,Very Easy,3.0,DN
2-5,12.1878,2.0,15.0,Very Easy,5.0,NL
4-99,22.087,7.0,221.0,Easy,4.1,NO
8-14,36.5878,8.0,341.0,Average,4.6,ES
5-12,7.247099999999999,2.0,37.0,Very Easy,4.5,PL
10-16,176.8878,18.0,1456.0,Average,4.6,PT
10-16,121.9878,8.0,1005.0,Average,4.4,NL
16+,121.7971,66.0,1167.0,Average,4.9,PL
5-8,49.99,1.0,266.0,Challenging,5.0,US
5-12,20.2971,1.0,104.0,Average,5.0,
10+,24.3878,2.0,234.0,Easy,5.0,IT
10-21,121.9878,6.0,1.0,Very Easy,4.3,IE
6-14,12.1878,1.0,48.0,Very Easy,5.0,DE
10+,9.99,3.0,119.0,Easy,5.0,US
5-12,60.8971,2.0,303.0,Average,4.0,PL
9-12,73.139,14.0,670.0,Average,4.5,FI
5-12,18.2878,1.0,127.0,Easy,,FR
10+,487.9878,38.0,601.0,Challenging,4.3,BE
8-12,79.23899999999998,2.0,464.0,Easy,4.5,FI
8-14,19.4922,1.0,94.0,Easy,4.0,CA
4-99,4.99,8.0,78.0,Very Easy,4.8,US
6-12,48.7878,3.0,322.0,Easy,4.3,AT
8-14,111.18,3.0,836.0,Average,4.7,CH
7-14,15.48,2.0,58.0,Easy,4.5,DN
2-5,79.28779999999998,1.0,67.0,Average,5.0,DE
6-12,17.4724,14.0,97.0,Easy,4.1,AU
7-14,20.986,1.0,56.0,Easy,5.0,GB
2-5,141.78,22.0,134.0,Average,4.1,CH
8-14,42.638999999999996,8.0,341.0,Average,4.6,FI
8-14,37.9924,24.0,305.0,Easy,4.8,AU
16+,493.87,171.0,4080.0,Challenging,4.7,NO
7-14,14.99,11.0,184.0,Easy,4.7,US
9-14,168.87,23.0,780.0,Average,4.6,NO
2-5,32.9278,2.0,26.0,Very Easy,5.0,NL
4-7,22.386,2.0,95.0,Easy,3.0,GB
10-16,121.9878,79.0,1106.0,Average,,PT
16+,311.88,88.0,4867.0,Challenging,4.9,DN
6+,12.1878,1.0,80.0,Easy,5.0,IT
7-14,22.7924,2.0,139.0,Easy,4.0,AU
7-12,42.638999999999996,32.0,208.0,Easy,4.4,FI
9-14,89.88,6.0,914.0,Average,4.8,DN
6-12,38.352,2.0,307.0,Average,4.5,CZ
4-7,12.1878,2.0,67.0,Very Easy,5.0,DE
6-12,48.7878,2.0,222.0,Average,5.0,FR
7-14,27.2922,5.0,267.0,Easy,3.2,CA
10+,13.0471,1.0,149.0,Very Easy,3.0,PL
6+,12.138,1.0,115.0,Easy,5.0,CH
14+,176.8878,52.0,1363.0,Average,3.8,
5-12,12.1878,1.0,78.0,Easy,5.0,IE
7-14,66.69709999999999,5.0,425.0,Average,3.2,PL
7-14,21.9478,19.0,181.0,Easy,4.9,NL
4-99,5.7971,8.0,78.0,Very Easy,4.8,PL
6-12,12.1878,2.0,95.0,Easy,5.0,AT
6-12,19.99,5.0,201.0,Average,4.4,US
7-14,17.4724,11.0,184.0,Easy,4.7,AU
10-14,67.0878,11.0,452.0,Challenging,4.5,AT
4-7,12.0,8.0,47.0,Very Easy,4.0,DN
9-16,49.99,1.0,513.0,Easy,5.0,US
2-5,45.37000000000001,2.0,57.0,Average,5.0,NO
8+,28.0478,16.0,208.0,Easy,,PT
8-14,91.439,20.0,581.0,Average,4.8,FI
